eye_tracker,participant_id,trial_number,trial_condition,rms_s2s,n_samples
EyeLink 1000 Plus,137,1,dark,0.007942974716495922,1784
EyeLink 1000 Plus,137,2,bright,0.005209257930913783,1872
EyeLink 1000 Plus,137,3,dark,0.006350457032999918,1875
EyeLink 1000 Plus,137,4,bright,0.006971195588733023,1875
EyeLink 1000 Plus,137,5,dark,0.010589679391514662,1866
EyeLink 1000 Plus,137,6,bright,0.006729855359649109,1869
EyeLink 1000 Plus,141,1,dark,0.025569362753507508,1875
EyeLink 1000 Plus,141,2,bright,0.007657336885558175,1875
EyeLink 1000 Plus,141,3,dark,0.0602105091985039,1842
EyeLink 1000 Plus,141,4,bright,0.008573622654949115,1874
EyeLink 1000 Plus,141,5,dark,0.00981623871956081,1875
EyeLink 1000 Plus,141,6,bright,0.010229877979839952,1875
EyeLink 1000 Plus,199,1,dark,0.0059166071885967,1875
EyeLink 1000 Plus,199,2,bright,0.005024486364713617,1875
EyeLink 1000 Plus,199,3,dark,0.006352387402161715,1875
EyeLink 1000 Plus,199,4,bright,0.005401017580023376,1875
EyeLink 1000 Plus,199,5,dark,0.005687291840101287,1853
EyeLink 1000 Plus,199,6,bright,0.0058668471648453254,1875
EyeLink 1000 Plus,210,1,dark,0.004208909899336037,1875
EyeLink 1000 Plus,210,2,bright,0.003416460113249047,1875
EyeLink 1000 Plus,210,3,dark,0.005373042277520179,1875
EyeLink 1000 Plus,210,4,bright,0.005783714470448145,1874
EyeLink 1000 Plus,210,5,dark,0.004464374766170844,1875
EyeLink 1000 Plus,210,6,bright,0.0035674183538435627,1871
EyeLink 1000 Plus,231,1,dark,0.0027979656968539087,1875
EyeLink 1000 Plus,231,2,bright,0.03566163216810279,1829
EyeLink 1000 Plus,231,3,dark,0.004658196906153664,1781
EyeLink 1000 Plus,231,4,bright,0.003840427237848635,1875
EyeLink 1000 Plus,231,5,dark,0.0039867202312912275,1871
EyeLink 1000 Plus,231,6,bright,0.007954027776497941,1864
EyeLink 1000 Plus,259,1,dark,0.008933398779679776,1834
EyeLink 1000 Plus,259,2,bright,0.002399348611582688,1870
EyeLink 1000 Plus,259,3,dark,0.007672397785458045,1875
EyeLink 1000 Plus,259,4,bright,0.0063866795242900325,1870
EyeLink 1000 Plus,259,5,dark,0.004904720388675085,1814
EyeLink 1000 Plus,259,6,bright,0.007137298011448631,1793
EyeLink 1000 Plus,276,1,dark,0.05718020658415583,1781
EyeLink 1000 Plus,276,2,bright,0.01575206638911645,1808
EyeLink 1000 Plus,276,3,dark,0.02000190502956473,1869
EyeLink 1000 Plus,276,4,bright,0.010103527874398773,1853
EyeLink 1000 Plus,276,5,dark,0.02500685536186178,1870
EyeLink 1000 Plus,276,6,bright,0.011070831380494387,1862
EyeLink 1000 Plus,299,1,dark,0.028531121533286758,1755
EyeLink 1000 Plus,299,2,bright,0.010137558711904724,1816
EyeLink 1000 Plus,299,3,dark,0.008163929145063132,1875
EyeLink 1000 Plus,299,4,bright,0.03841230361944476,1796
EyeLink 1000 Plus,299,5,dark,0.015905420956821268,1868
EyeLink 1000 Plus,299,6,bright,0.03541995314708935,1781
EyeLink 1000 Plus,319,1,dark,0.007011235561568487,1871
EyeLink 1000 Plus,319,2,bright,0.008945829618851795,1862
EyeLink 1000 Plus,319,3,dark,0.02056865286099326,1855
EyeLink 1000 Plus,319,4,bright,0.007259379478030452,1870
EyeLink 1000 Plus,319,5,dark,0.0230593583510978,1875
EyeLink 1000 Plus,319,6,bright,0.008349846380032121,1868
EyeLink 1000 Plus,332,1,dark,0.0051700947403494155,1875
EyeLink 1000 Plus,332,2,bright,0.006072466391069843,1868
EyeLink 1000 Plus,332,3,dark,0.004726930351249429,1875
EyeLink 1000 Plus,332,4,bright,0.011736644326854551,1805
EyeLink 1000 Plus,332,5,dark,0.0059518583540446954,1875
EyeLink 1000 Plus,332,6,bright,0.005574653184631282,1875
EyeLink 1000 Plus,347,1,dark,0.006775254184838021,1866
EyeLink 1000 Plus,347,2,bright,0.004093672579153451,1875
EyeLink 1000 Plus,347,3,dark,0.007250728645899468,1875
EyeLink 1000 Plus,347,4,bright,0.005288047541026773,1875
EyeLink 1000 Plus,347,5,dark,0.0071427884782215316,1875
EyeLink 1000 Plus,347,6,bright,0.006327087058514257,1804
EyeLink 1000 Plus,352,1,dark,0.010704171686953874,1848
EyeLink 1000 Plus,352,2,bright,0.0073938985599704,1875
EyeLink 1000 Plus,352,3,dark,0.009911721328389585,1875
EyeLink 1000 Plus,352,4,bright,0.007550782948997746,1875
EyeLink 1000 Plus,352,5,dark,0.009463005959170018,1871
EyeLink 1000 Plus,352,6,bright,0.008152618076145058,1875
EyeLink 1000 Plus,354,1,dark,0.0042659837635918105,1875
EyeLink 1000 Plus,354,2,bright,0.022454879980337156,1848
EyeLink 1000 Plus,354,3,dark,0.004411444453360611,1875
EyeLink 1000 Plus,354,4,bright,0.004065681849289668,1871
EyeLink 1000 Plus,354,5,dark,0.013443904282266736,1863
EyeLink 1000 Plus,354,6,bright,0.0038517458358931843,1875
EyeLink 1000 Plus,375,1,dark,0.004242268726073273,1875
EyeLink 1000 Plus,375,2,bright,0.0036223545581480837,1846
EyeLink 1000 Plus,375,3,dark,0.00517360143441798,1873
EyeLink 1000 Plus,375,4,bright,0.004230736455136492,1875
EyeLink 1000 Plus,375,5,dark,0.0051558699538695974,1875
EyeLink 1000 Plus,375,6,bright,0.005600813442673705,1875
EyeLink 1000 Plus,397,1,dark,0.002513291244327548,1875
EyeLink 1000 Plus,397,2,bright,0.0026252573073220183,1875
EyeLink 1000 Plus,397,3,dark,0.0023367118602389356,1824
EyeLink 1000 Plus,397,4,bright,0.0024972961701186214,1875
EyeLink 1000 Plus,397,5,dark,0.0037769558387214,1875
EyeLink 1000 Plus,397,6,bright,0.0027264388417493125,1875
EyeLink 1000 Plus,406,1,dark,0.00438285580642743,1875
EyeLink 1000 Plus,406,2,bright,0.003875973881505082,1875
EyeLink 1000 Plus,406,3,dark,0.004137814918671931,1875
EyeLink 1000 Plus,406,4,bright,0.0043817327003152304,1875
EyeLink 1000 Plus,406,5,dark,0.004243878359759012,1875
EyeLink 1000 Plus,406,6,bright,0.004232320927526523,1875
EyeLink 1000 Plus,460,1,dark,0.005425372718668876,1869
EyeLink 1000 Plus,460,2,bright,0.003962679955261951,1864
EyeLink 1000 Plus,460,3,dark,0.008890947561766647,1829
EyeLink 1000 Plus,460,4,bright,0.006241444292560673,1787
EyeLink 1000 Plus,460,5,dark,0.0063297220302098054,1875
EyeLink 1000 Plus,460,6,bright,0.003875737467306838,1875
EyeLink 1000 Plus,503,1,dark,0.01269497669899866,1850
EyeLink 1000 Plus,503,2,bright,0.005001710254953548,1865
EyeLink 1000 Plus,503,3,dark,0.011869285600447614,1852
EyeLink 1000 Plus,503,4,bright,0.01373331064389997,1849
EyeLink 1000 Plus,503,5,dark,0.018277443390241493,1858
EyeLink 1000 Plus,503,6,bright,0.01688926457744567,1843
EyeLink 1000 Plus,695,1,dark,0.009272125679549027,1875
EyeLink 1000 Plus,695,2,bright,0.007289807498958654,1875
EyeLink 1000 Plus,695,3,dark,0.008077331015200003,1839
EyeLink 1000 Plus,695,4,bright,0.006705618902860523,1875
EyeLink 1000 Plus,695,5,dark,0.011267154160093452,1873
EyeLink 1000 Plus,695,6,bright,0.009511449025848771,1867
EyeLink 1000 Plus,772,1,dark,0.008768200685711602,1868
EyeLink 1000 Plus,772,2,bright,0.005424958772843527,1875
EyeLink 1000 Plus,772,3,dark,0.00747458590950768,1869
EyeLink 1000 Plus,772,4,bright,0.0074420034414634075,1872
EyeLink 1000 Plus,772,5,dark,0.008277133452071718,1870
EyeLink 1000 Plus,772,6,bright,0.006435607025066641,1875
EyeLink 1000 Plus,796,1,dark,0.005802876176660094,1875
EyeLink 1000 Plus,796,2,bright,0.005649924238080162,1875
EyeLink 1000 Plus,796,3,dark,0.0055218648661743775,1875
EyeLink 1000 Plus,796,4,bright,0.0056409890117761026,1875
EyeLink 1000 Plus,796,5,dark,0.01060986883825759,1822
EyeLink 1000 Plus,796,6,bright,0.009750093312173528,1803
EyeLink 1000 Plus,844,1,dark,0.027674778643790084,1819
EyeLink 1000 Plus,844,2,bright,0.013251999845991434,1843
EyeLink 1000 Plus,844,3,dark,0.04298640788582907,1803
EyeLink 1000 Plus,844,4,bright,0.008928942920571498,1788
EyeLink 1000 Plus,844,5,dark,0.059818962508381056,1742
EyeLink 1000 Plus,844,6,bright,0.030652207844458185,1782
EyeLink 1000 Plus,875,1,dark,0.01165433753539261,1862
EyeLink 1000 Plus,875,2,bright,0.008528218907706669,1870
EyeLink 1000 Plus,875,3,dark,0.015354572654958069,1866
EyeLink 1000 Plus,875,4,bright,0.015537817165129687,1870
EyeLink 1000 Plus,875,5,dark,0.008785094958800106,1835
EyeLink 1000 Plus,875,6,bright,0.014328441213749873,1826
EyeLink 1000 Plus,914,1,dark,0.013775503952223348,1846
EyeLink 1000 Plus,914,2,bright,0.015704202174362542,1857
EyeLink 1000 Plus,914,3,dark,0.014575524930799682,1863
EyeLink 1000 Plus,914,4,bright,0.01861296979637917,1856
EyeLink 1000 Plus,914,5,dark,0.022566539939579383,1861
EyeLink 1000 Plus,914,6,bright,0.011295958848301167,1863
Pupil Core,137,1,dark,0.343245564191566,825
Pupil Core,137,2,bright,0.22252727022232388,823
Pupil Core,137,3,dark,0.18924400416972964,847
Pupil Core,137,4,bright,0.1959207125135421,889
Pupil Core,137,5,dark,0.27427261223720323,909
Pupil Core,137,6,bright,0.22274538495442134,905
Pupil Core,141,1,dark,0.12868074033478782,448
Pupil Core,141,2,bright,0.18484325271926091,848
Pupil Core,141,3,dark,0.14404243127355856,729
Pupil Core,141,4,bright,0.18563301876287935,777
Pupil Core,141,5,dark,0.09613184770593781,910
Pupil Core,141,6,bright,0.1959933993798681,901
Pupil Core,199,1,dark,0.14814462066767967,713
Pupil Core,199,2,bright,0.1998296806026864,795
Pupil Core,199,3,dark,0.14865339064414715,803
Pupil Core,199,4,bright,0.2279191724252091,820
Pupil Core,199,5,dark,0.1283819508735864,865
Pupil Core,199,6,bright,0.21536060409931568,879
Pupil Core,210,1,dark,0.08933170397316326,722
Pupil Core,210,2,bright,1.0848963557816758,514
Pupil Core,210,3,dark,0.15228824219920348,751
Pupil Core,210,4,bright,0.43316050219068347,769
Pupil Core,210,5,dark,1.2485760674662711,620
Pupil Core,210,6,bright,0.6232677735258615,856
Pupil Core,231,1,dark,0.14831589550546492,921
Pupil Core,231,2,bright,0.27364127860949666,920
Pupil Core,231,3,dark,0.24863540904178594,884
Pupil Core,231,4,bright,0.3106882445535308,916
Pupil Core,231,5,dark,0.13982785251933563,924
Pupil Core,231,6,bright,0.2772796697904929,916
Pupil Core,259,1,dark,0.11388377925391546,896
Pupil Core,259,2,bright,0.17249015114563238,917
Pupil Core,259,3,dark,0.11516808474720516,917
Pupil Core,259,4,bright,0.17940603016265913,917
Pupil Core,259,5,dark,0.11148228542057938,916
Pupil Core,259,6,bright,0.21120335167995774,917
Pupil Core,276,1,dark,0.22771512834649993,921
Pupil Core,276,2,bright,0.48831116793606705,928
Pupil Core,276,3,dark,0.3946772545343222,684
Pupil Core,276,4,bright,0.4478402376283711,907
Pupil Core,276,5,dark,0.34533733585622106,917
Pupil Core,276,6,bright,0.3638713494895831,906
Pupil Core,299,1,dark,0.2949567065513755,759
Pupil Core,299,2,bright,0.27066424934415145,860
Pupil Core,299,3,dark,0.18532881608451338,903
Pupil Core,299,4,bright,0.24116007269607073,911
Pupil Core,299,5,dark,0.17520170228900012,906
Pupil Core,299,6,bright,0.2471579539646265,895
Pupil Core,319,1,dark,0.11891736573866406,857
Pupil Core,319,2,bright,0.2344006857551511,908
Pupil Core,319,3,dark,0.21283793473299142,868
Pupil Core,319,4,bright,0.2770357984459736,918
Pupil Core,319,5,dark,0.12995410706632132,917
Pupil Core,319,6,bright,0.19901394831202138,917
Pupil Core,332,1,dark,0.2607997186558993,911
Pupil Core,332,2,bright,0.5678665504362436,912
Pupil Core,332,3,dark,0.3381738494011407,462
Pupil Core,332,4,bright,0.576951434512798,921
Pupil Core,332,5,dark,0.2621352341483181,908
Pupil Core,332,6,bright,0.5635039641438535,903
Pupil Core,347,1,dark,0.1914068606655024,837
Pupil Core,347,2,bright,0.4636328685893431,644
Pupil Core,347,3,dark,0.26569068294867565,878
Pupil Core,347,4,bright,0.2817753838024404,918
Pupil Core,347,5,dark,0.5661316642846113,655
Pupil Core,347,6,bright,1.2015747901547957,334
Pupil Core,352,1,dark,1.69672858380986,612
Pupil Core,352,2,bright,0.5385326049217775,924
Pupil Core,352,3,dark,2.4893548234660288,514
Pupil Core,352,4,bright,0.5042534536217093,910
Pupil Core,352,5,dark,0.34420927884367886,886
Pupil Core,352,6,bright,0.5609996698402897,930
Pupil Core,354,1,dark,0.3114490472395354,641
Pupil Core,354,2,bright,0.44305915250713357,658
Pupil Core,354,3,dark,0.2968037369708571,682
Pupil Core,354,4,bright,0.5101049804616814,764
Pupil Core,354,5,dark,0.31919522173315534,829
Pupil Core,354,6,bright,0.45164139962005756,893
Pupil Core,375,1,dark,0.2496857866192519,916
Pupil Core,375,2,bright,0.26383987628678457,876
Pupil Core,375,3,dark,0.19448008027736083,907
Pupil Core,375,4,bright,0.21906731941385754,922
Pupil Core,375,5,dark,0.20172889347342582,895
Pupil Core,375,6,bright,0.35065741574144493,875
Pupil Core,397,1,dark,0.14576816310031468,896
Pupil Core,397,2,bright,0.2695703441250299,882
Pupil Core,397,3,dark,0.14071633831439218,891
Pupil Core,397,4,bright,0.3029245792793464,902
Pupil Core,397,5,dark,0.1498672729996875,903
Pupil Core,397,6,bright,0.23127396842741865,923
Pupil Core,406,1,dark,0.17509468237732173,894
Pupil Core,406,2,bright,0.34215209115059386,874
Pupil Core,406,3,dark,0.22846928741246245,915
Pupil Core,406,4,bright,0.32935999540956695,890
Pupil Core,406,5,dark,0.21996334421341343,917
Pupil Core,406,6,bright,0.3359629531202038,907
Pupil Core,460,1,dark,0.12960213566532242,874
Pupil Core,460,2,bright,0.24262472587642844,897
Pupil Core,460,3,dark,0.1246286512659616,914
Pupil Core,460,4,bright,0.27869889040147766,911
Pupil Core,460,5,dark,0.12450956563511989,916
Pupil Core,460,6,bright,0.24487299098648865,910
Pupil Core,503,1,dark,0.27916584679241535,912
Pupil Core,503,2,bright,0.43109642571011586,896
Pupil Core,503,3,dark,0.31271499602666275,923
Pupil Core,503,4,bright,0.4367268009018073,912
Pupil Core,503,5,dark,0.262545172055267,924
Pupil Core,503,6,bright,0.46651525705807617,903
Pupil Core,695,1,dark,0.19638815263278375,924
Pupil Core,695,2,bright,0.3319066314377408,928
Pupil Core,695,3,dark,0.19596122794010273,923
Pupil Core,695,4,bright,0.35624622004045603,935
Pupil Core,695,5,dark,0.20077629700520455,930
Pupil Core,695,6,bright,0.3530742798813948,927
Pupil Core,772,1,dark,0.16838676187665086,880
Pupil Core,772,2,bright,0.39197776918148786,892
Pupil Core,772,3,dark,0.21470183794054887,918
Pupil Core,772,4,bright,0.432020586740015,911
Pupil Core,772,5,dark,0.18479486252614705,917
Pupil Core,772,6,bright,0.34785359623275847,907
Pupil Core,796,1,dark,0.10493845089792632,883
Pupil Core,796,2,bright,0.16239781692034844,873
Pupil Core,796,3,dark,0.10547497078995315,919
Pupil Core,796,4,bright,0.2066690508162933,905
Pupil Core,796,5,dark,0.10585392583318799,904
Pupil Core,796,6,bright,0.17423745106118213,901
Pupil Core,844,1,dark,0.1263190015173036,917
Pupil Core,844,2,bright,0.21547288880804583,910
Pupil Core,844,3,dark,0.15848020446479869,911
Pupil Core,844,4,bright,0.2660335523162497,907
Pupil Core,844,5,dark,0.17543997661660501,890
Pupil Core,844,6,bright,0.24001877792060852,911
Pupil Core,875,1,dark,0.5279503316576126,888
Pupil Core,875,2,bright,0.9240274680280778,881
Pupil Core,875,3,dark,0.5572905963589471,910
Pupil Core,875,4,bright,0.9229638429997185,899
Pupil Core,875,5,dark,0.48101004950571113,904
Pupil Core,875,6,bright,0.7932770829097769,836
Pupil Core,914,1,dark,0.1783803355749603,930
Pupil Core,914,2,bright,0.3514282114367614,930
Pupil Core,914,3,dark,0.21384059360475183,919
Pupil Core,914,4,bright,0.302365240890777,936
Pupil Core,914,5,dark,0.20561241318823698,925
Pupil Core,914,6,bright,0.31566262069032414,929
